survey_id,Date,ANI,DNIS,channel,product,state,call_transcrpt,all_topics_discussed,supporting_quote,ai_topic_reasoning,customer_sentiment,process_time,model_version
S001,8/05/2025,0431 139 145,0462 639 537,Phone,Combined,SA,"I am quite neutral with how the missing item was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Neutral experience with resolution', 'Long resolution time', 'Unclear communication from support']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer expresses a neutral stance on the resolution of the missing item but notes delays and unclear communication as issues.,Neutral,2025-11-18T21:45:41,gpt-4o-mini
S002,6/06/2025,0407 174 972,0402 182 663,Branch,Ambulance Cover,VIC,The overall experience was not great due to a wrong item sent. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Wrong item sent', 'Poor customer service', 'Multiple support contacts']",The overall experience was not great due to a wrong item sent.,The customer had a negative experience due to receiving the wrong item and inadequate support.,Negative,2025-11-18T21:45:44,gpt-4o-mini
S003,25/09/2025,0417 867 603,0465 270 521,Branch,Travel,VIC,"I faced a missing item recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Missing item issue', 'Confusing process', 'Slow resolution']","the process was confusing and slow, making the whole experience frustrating.","The customer experienced a missing item that was handled poorly, leading to frustration and inconvenience.",Negative,2025-11-18T21:45:47,gpt-4o-mini
S004,7/10/2025,0473 983 205,0459 260 949,Email,Ambulance Cover,WA,"I'm frustrated about how my billing error was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Billing error handling', 'Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,"The customer is frustrated with how their billing error was managed, indicating issues with internal processes.",Negative,2025-11-18T21:45:49,gpt-4o-mini
S005,8/05/2025,0431 723 805,0474 448 944,Web,Combined,QLD,"I'm polite but firm about how my double charge was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Double charge issue', 'Lack of escalation process', 'Accountability concerns']","It seems like there is no proper escalation process or accountability within the team, which made things worse.",The customer is upset about being double charged and feels that there is inadequate support and accountability in resolving issues.,Negative,2025-11-18T21:45:52,gpt-4o-mini
S006,7/08/2025,0402 226 131,0439 460 699,Mobile App,Hospital,TAS,"I am quite neutral with how the website bug was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough. Plz contact me with test@gmail.com","['Slow resolution time', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer is expressing neutrality but indicates delays and poor communication about the resolution of a website issue.,Neutral,2025-11-18T21:45:55,gpt-4o-mini
S007,6/09/2025,0483 808 234,0477 771 590,Mobile App,Hospital,WA,"I faced a website bug recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Website bug', 'Confusing process', 'Slow response']","the process was confusing and slow, making the whole experience frustrating.",The user experienced a frustrating situation due to a website bug and an inefficient support process. This indicates areas for improvement in the website functionality and customer service.,Negative,2025-11-18T21:45:58,gpt-4o-mini
S008,7/05/2025,0495 466 645,0474 507 363,Phone,Hospital,SA,"I'm polite but firm about how my missing item was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Poor item resolution process', 'Lack of escalation procedures', 'Absence of accountability']",It seems like there is no proper escalation process or accountability within the team.,The customer indicates frustration with the handling of their missing item and highlights systemic issues in the team's processes.,Negative,2025-11-18T21:46:02,gpt-4o-mini
S009,11/07/2025,0451 658 257,0400 305 253,Web,Ambulance Cover,TAS,The overall experience was not great due to a inconsistent information. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Inconsistent information', 'Poor service quality', 'Multiple support contacts']",The overall experience was not great due to a inconsistent information.,The customer faced issues with receiving accurate information and had to repeatedly reach out for support without resolution.,Negative,2025-11-18T21:46:05,gpt-4o-mini
S010,23/05/2025,0442 181 808,0435 263 394,Web,Hospital,QLD,"I'm constructive about how my wrong item sent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Wrong item sent', 'Lack of escalation process', 'Accountability issues']","It seems like there is no proper escalation process or accountability within the team, which made things worse.","The customer highlights issues with receiving the wrong item and inadequate escalation procedures, leading to dissatisfaction.",Negative,2025-11-18T21:46:08,gpt-4o-mini
