survey_id,Date,ANI,DNIS,channel,product,state,call_transcrpt
S001,8/05/2025,0431 139 145,0462 639 537,Phone,Combined,SA,"I am quite neutral with how the missing item was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough."
S002,6/06/2025,0407 174 972,0402 182 663,Branch,Ambulance Cover,VIC,The overall experience was not great due to a wrong item sent. I had to contact support multiple times and it still remains unresolved. I expected better service quality.
S003,25/09/2025,0417 867 603,0465 270 521,Branch,Travel,VIC,"I faced a missing item recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating."
S004,7/10/2025,0473 983 205,0459 260 949,Email,Ambulance Cover,WA,"I'm frustrated about how my billing error was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse."
S005,8/05/2025,0431 723 805,0474 448 944,Web,Combined,QLD,"I'm polite but firm about how my double charge was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse."
S006,7/08/2025,0402 226 131,0439 460 699,Mobile App,Hospital,TAS,"I am quite neutral with how the website bug was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough. Plz contact me with test@gmail.com"
S007,6/09/2025,0483 808 234,0477 771 590,Mobile App,Hospital,WA,"I faced a website bug recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating."
S008,7/05/2025,0495 466 645,0474 507 363,Phone,Hospital,SA,"I'm polite but firm about how my missing item was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse."
S009,11/07/2025,0451 658 257,0400 305 253,Web,Ambulance Cover,TAS,The overall experience was not great due to a inconsistent information. I had to contact support multiple times and it still remains unresolved. I expected better service quality.
S010,23/05/2025,0442 181 808,0435 263 394,Web,Hospital,QLD,"I'm constructive about how my wrong item sent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse."
S011,26/04/2025,0437 429 489,0459 656 420,Mobile App,Combined,SA,"I faced a rude staff recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating."
S012,4/09/2025,0476 591 218,0461 363 116,Phone,Combined,ACT,"I'm constructive about how my website bug was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse."
S013,18/05/2025,0479 122 567,0442 539 199,Email,Ambulance Cover,ACT,The overall experience was not great due to a delivery delay. I had to contact support multiple times and it still remains unresolved. I expected better service quality.
S014,8/09/2025,0432 913 890,0432 123 806,Email,Extras,WA,"I'm annoyed about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse."
S015,5/05/2025,0457 674 111,0442 649 469,Web,Extras,QLD,"I faced a slow response recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating."
