survey_id,Date,ANI,DNIS,channel,product,state,call_transcrpt,all_topics_discussed,supporting_quote,ai_topic_reasoning,customer_sentiment,process_time,model_version,topic_cluster_ids,topic_discussed,general_topic_l1
S001,8/05/2025,0431 139 145,0462 639 537,Phone,Combined,SA,"I am quite neutral with how the missing item was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Neutral experience', 'Long resolution time', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses neutrality but points out delays and issues with communication, indicating areas for improvement.",Neutral,2025-11-18T22:46:00,gpt-4o-mini,"[8, 4, 10]",Neutral experience,Customer service issues
S001,8/05/2025,0431 139 145,0462 639 537,Phone,Combined,SA,"I am quite neutral with how the missing item was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Neutral experience', 'Long resolution time', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses neutrality but points out delays and issues with communication, indicating areas for improvement.",Neutral,2025-11-18T22:46:00,gpt-4o-mini,"[8, 4, 10]",Long resolution time,Service response efficiency
S001,8/05/2025,0431 139 145,0462 639 537,Phone,Combined,SA,"I am quite neutral with how the missing item was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Neutral experience', 'Long resolution time', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses neutrality but points out delays and issues with communication, indicating areas for improvement.",Neutral,2025-11-18T22:46:00,gpt-4o-mini,"[8, 4, 10]",Unclear communication,Communication improvement needs
S002,6/06/2025,0407 174 972,0402 182 663,Branch,Ambulance Cover,VIC,The overall experience was not great due to a wrong item sent. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Wrong item sent', 'Poor service quality', 'Multiple support contacts']",The overall experience was not great due to a wrong item sent.,"The customer faced issues with receiving the incorrect item and had to reach out multiple times for resolution, indicating dissatisfaction with service.",Negative,2025-11-18T22:46:04,gpt-4o-mini,"[7, 2, 1]",Wrong item sent,Incorrect item management
S002,6/06/2025,0407 174 972,0402 182 663,Branch,Ambulance Cover,VIC,The overall experience was not great due to a wrong item sent. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Wrong item sent', 'Poor service quality', 'Multiple support contacts']",The overall experience was not great due to a wrong item sent.,"The customer faced issues with receiving the incorrect item and had to reach out multiple times for resolution, indicating dissatisfaction with service.",Negative,2025-11-18T22:46:04,gpt-4o-mini,"[7, 2, 1]",Poor service quality,Service and Product Quality
S002,6/06/2025,0407 174 972,0402 182 663,Branch,Ambulance Cover,VIC,The overall experience was not great due to a wrong item sent. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Wrong item sent', 'Poor service quality', 'Multiple support contacts']",The overall experience was not great due to a wrong item sent.,"The customer faced issues with receiving the incorrect item and had to reach out multiple times for resolution, indicating dissatisfaction with service.",Negative,2025-11-18T22:46:04,gpt-4o-mini,"[7, 2, 1]",Multiple support contacts,Support communication challenges
S003,25/09/2025,0417 867 603,0465 270 521,Branch,Travel,VIC,"I faced a missing item recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Missing item issue', 'Confusing process', 'Slow resolution', 'Frustrating experience']","the process was confusing and slow, making the whole experience frustrating.","The customer encountered a missing item, which led to frustration due to the confusing and slow response process.",Negative,2025-11-18T22:46:07,gpt-4o-mini,"[7, 10, 4, 8]",Missing item issue,Incorrect item management
S003,25/09/2025,0417 867 603,0465 270 521,Branch,Travel,VIC,"I faced a missing item recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Missing item issue', 'Confusing process', 'Slow resolution', 'Frustrating experience']","the process was confusing and slow, making the whole experience frustrating.","The customer encountered a missing item, which led to frustration due to the confusing and slow response process.",Negative,2025-11-18T22:46:07,gpt-4o-mini,"[7, 10, 4, 8]",Confusing process,Communication improvement needs
S003,25/09/2025,0417 867 603,0465 270 521,Branch,Travel,VIC,"I faced a missing item recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Missing item issue', 'Confusing process', 'Slow resolution', 'Frustrating experience']","the process was confusing and slow, making the whole experience frustrating.","The customer encountered a missing item, which led to frustration due to the confusing and slow response process.",Negative,2025-11-18T22:46:07,gpt-4o-mini,"[7, 10, 4, 8]",Slow resolution,Service response efficiency
S003,25/09/2025,0417 867 603,0465 270 521,Branch,Travel,VIC,"I faced a missing item recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Missing item issue', 'Confusing process', 'Slow resolution', 'Frustrating experience']","the process was confusing and slow, making the whole experience frustrating.","The customer encountered a missing item, which led to frustration due to the confusing and slow response process.",Negative,2025-11-18T22:46:07,gpt-4o-mini,"[7, 10, 4, 8]",Frustrating experience,Customer service issues
